Approved symbol	Locus group	Ensembl gene ID
AGBL5-AS1	non-coding RNA	ENSG00000231636
AGBL5-IT1	non-coding RNA	ENSG00000229122
AGER	protein-coding gene	ENSG00000204305
AGFG1	protein-coding gene	ENSG00000173744
AGFG2	protein-coding gene	ENSG00000106351
AGGF1	protein-coding gene	ENSG00000164252
AGGF1P1	pseudogene	ENSG00000214273
AGGF1P10	pseudogene	ENSG00000282968
AGGF1P2	pseudogene	ENSG00000233435
AGGF1P3	pseudogene	ENSG00000241532
AGGF1P4	pseudogene	ENSG00000261689
AGGF1P5	pseudogene	ENSG00000260680
AGGF1P6	pseudogene	ENSG00000259836
AGGF1P7	pseudogene	ENSG00000260994
AGGF1P8	pseudogene	ENSG00000261752
AGGF1P9	pseudogene	ENSG00000260427
AGK	protein-coding gene	ENSG00000006530
AGKP1	pseudogene	ENSG00000226555
AGKP2	pseudogene	ENSG00000228819
AGL	protein-coding gene	ENSG00000162688
AGMAT	protein-coding gene	ENSG00000116771
AGMO	protein-coding gene	ENSG00000187546
AGO1	protein-coding gene	ENSG00000092847
AGO2	protein-coding gene	ENSG00000123908
AGO3	protein-coding gene	ENSG00000126070
AGO4	protein-coding gene	ENSG00000134698
AGPAT1	protein-coding gene	ENSG00000204310
AGPAT2	protein-coding gene	ENSG00000169692
AGPAT3	protein-coding gene	ENSG00000160216
AGPAT4	protein-coding gene	ENSG00000026652
AGPAT4-IT1	non-coding RNA	ENSG00000279355
AGPAT5	protein-coding gene	ENSG00000155189
AGPAT5P1	pseudogene	ENSG00000234652
AGPS	protein-coding gene	ENSG00000018510
AGR2	protein-coding gene	ENSG00000106541
AGR3	protein-coding gene	ENSG00000173467
AGRN	protein-coding gene	ENSG00000188157
AGRP	protein-coding gene	ENSG00000159723
AGT	protein-coding gene	ENSG00000135744
AGTPBP1	protein-coding gene	ENSG00000135049
AGTR1	protein-coding gene	ENSG00000144891
AGTR2	protein-coding gene	ENSG00000180772
AGTRAP	protein-coding gene	ENSG00000177674
AGXT	protein-coding gene	ENSG00000172482
AGXT2	protein-coding gene	ENSG00000113492
AHCTF1	protein-coding gene	ENSG00000153207
AHCTF1P1	pseudogene	ENSG00000226121
AHCY	protein-coding gene	ENSG00000101444
AHCYL1	protein-coding gene	ENSG00000168710
AHCYL2	protein-coding gene	ENSG00000158467
AHCYP1	pseudogene	
AHCYP2	pseudogene	ENSG00000238181
AHCYP3	pseudogene	ENSG00000233955
AHCYP4	pseudogene	ENSG00000232992
AHCYP5	pseudogene	ENSG00000213107
AHCYP6	pseudogene	
AHCYP7	pseudogene	ENSG00000259465
AHCYP8	pseudogene	ENSG00000242529
AHDC1	protein-coding gene	ENSG00000126705
AHI1	protein-coding gene	ENSG00000135541
AHNAK	protein-coding gene	ENSG00000124942
AHNAK2	protein-coding gene	ENSG00000185567
AHR	protein-coding gene	ENSG00000106546
AHRR	protein-coding gene	ENSG00000063438
AHSA1	protein-coding gene	ENSG00000100591
AHSA2P	pseudogene	ENSG00000173209
AHSG	protein-coding gene	ENSG00000145192
AHSP	protein-coding gene	ENSG00000169877
AICDA	protein-coding gene	ENSG00000111732
AIDA	protein-coding gene	ENSG00000186063
AIDAP1	pseudogene	ENSG00000230154
AIDAP2	pseudogene	ENSG00000251429
AIDAP3	pseudogene	ENSG00000264189
AIF1	protein-coding gene	ENSG00000204472
AIF1L	protein-coding gene	ENSG00000126878
AIFM1	protein-coding gene	ENSG00000156709
AIFM1P1	pseudogene	ENSG00000225509
AIFM2	protein-coding gene	ENSG00000042286
AIFM3	protein-coding gene	ENSG00000183773
AIG1	protein-coding gene	ENSG00000146416
AIG1P1	pseudogene	ENSG00000249089
AIM2	protein-coding gene	ENSG00000163568
AIMP1	protein-coding gene	ENSG00000164022
AIMP1P1	pseudogene	ENSG00000234187
AIMP1P2	pseudogene	ENSG00000227177
AIMP2	protein-coding gene	ENSG00000106305
AIP	protein-coding gene	ENSG00000110711
AIPL1	protein-coding gene	ENSG00000129221
AIRE	protein-coding gene	ENSG00000160224
AIRN	non-coding RNA	ENSG00000268257
AJAP1	protein-coding gene	ENSG00000196581
AJM1	protein-coding gene	ENSG00000232434
AJUBA	protein-coding gene	ENSG00000129474
AK1	protein-coding gene	ENSG00000106992
AK2	protein-coding gene	ENSG00000004455
AK2P1	pseudogene	
AK2P2	pseudogene	ENSG00000242272
AK3	protein-coding gene	ENSG00000147853
AK3P2	pseudogene	ENSG00000250115
AK3P3	pseudogene	ENSG00000230042
AK3P4	pseudogene	ENSG00000248722
AK3P5	pseudogene	ENSG00000228816
AK3P6	pseudogene	
AK4	protein-coding gene	ENSG00000162433
AK4P1	pseudogene	ENSG00000263535
AK4P2	pseudogene	ENSG00000249410
AK4P3	pseudogene	ENSG00000233381
AK4P4	pseudogene	ENSG00000223621
AK4P5	pseudogene	ENSG00000217377
AK4P6	pseudogene	ENSG00000235606
AK5	protein-coding gene	ENSG00000154027
AK6	protein-coding gene	ENSG00000085231
AK6P1	pseudogene	ENSG00000256614
AK6P2	pseudogene	ENSG00000257173
AK7	protein-coding gene	ENSG00000140057
AK8	protein-coding gene	ENSG00000165695
AK9	protein-coding gene	ENSG00000155085
AKAIN1	protein-coding gene	ENSG00000231824
AKAP1	protein-coding gene	ENSG00000121057
AKAP10	protein-coding gene	ENSG00000108599
AKAP11	protein-coding gene	ENSG00000023516
AKAP12	protein-coding gene	ENSG00000131016
AKAP13	protein-coding gene	ENSG00000170776
AKAP14	protein-coding gene	ENSG00000186471
AKAP17A	protein-coding gene	ENSG00000197976
AKAP17BP	pseudogene	ENSG00000214992
AKAP2	other	
AKAP3	protein-coding gene	ENSG00000111254
AKAP4	protein-coding gene	ENSG00000147081
AKAP5	protein-coding gene	ENSG00000179841
AKAP6	protein-coding gene	ENSG00000151320
AKAP7	protein-coding gene	ENSG00000118507
AKAP8	protein-coding gene	ENSG00000105127
AKAP8L	protein-coding gene	ENSG00000011243
AKAP8P1	pseudogene	ENSG00000234146
AKAP9	protein-coding gene	ENSG00000127914
AKIP1	protein-coding gene	ENSG00000166452
AKIRIN1	protein-coding gene	ENSG00000174574
AKIRIN1P1	pseudogene	ENSG00000257786
AKIRIN1P2	pseudogene	ENSG00000228125
AKIRIN2	protein-coding gene	ENSG00000135334
AKIRIN2P1	pseudogene	ENSG00000251482
AKNA	protein-coding gene	ENSG00000106948
AKNAD1	protein-coding gene	ENSG00000162641
AKR1A1	protein-coding gene	ENSG00000117448
AKR1B1	protein-coding gene	ENSG00000085662
AKR1B10	protein-coding gene	ENSG00000198074
AKR1B10P1	pseudogene	ENSG00000213606
AKR1B10P2	pseudogene	ENSG00000263355
AKR1B15	protein-coding gene	ENSG00000227471
AKR1B1P1	pseudogene	ENSG00000229991
AKR1B1P2	pseudogene	ENSG00000213452
AKR1B1P3	pseudogene	ENSG00000213785
AKR1B1P4	pseudogene	ENSG00000237876
AKR1B1P5	pseudogene	ENSG00000258685
AKR1B1P6	pseudogene	ENSG00000225212
AKR1B1P7	pseudogene	ENSG00000266899
AKR1B1P8	pseudogene	ENSG00000231371
AKR1C1	protein-coding gene	ENSG00000187134
AKR1C2	protein-coding gene	ENSG00000151632
AKR1C3	protein-coding gene	ENSG00000196139
AKR1C4	protein-coding gene	ENSG00000198610
AKR1C5P	pseudogene	ENSG00000225418
AKR1C6P	pseudogene	ENSG00000151631
AKR1C7P	pseudogene	ENSG00000215267
AKR1C8P	pseudogene	ENSG00000264006
AKR1D1	protein-coding gene	ENSG00000122787
AKR1D1P1	pseudogene	ENSG00000227776
AKR1E2	protein-coding gene	ENSG00000165568
AKR7A2	protein-coding gene	ENSG00000053371
AKR7A2P1	pseudogene	ENSG00000229020
AKR7A2P2	pseudogene	ENSG00000224341
AKR7A3	protein-coding gene	ENSG00000162482
AKR7L	protein-coding gene	ENSG00000211454
AKT1	protein-coding gene	ENSG00000142208
AKT1S1	protein-coding gene	ENSG00000204673
AKT2	protein-coding gene	ENSG00000105221
AKT3	protein-coding gene	ENSG00000117020
AKT3-IT1	non-coding RNA	ENSG00000228939
AKTIP	protein-coding gene	ENSG00000166971
ALAD	protein-coding gene	ENSG00000148218
ALAS1	protein-coding gene	ENSG00000023330
ALAS2	protein-coding gene	ENSG00000158578
ALB	protein-coding gene	ENSG00000163631
ALCAM	protein-coding gene	ENSG00000170017
ALDH16A1	protein-coding gene	ENSG00000161618
ALDH18A1	protein-coding gene	ENSG00000059573
ALDH1A1	protein-coding gene	ENSG00000165092
ALDH1A2	protein-coding gene	ENSG00000128918
ALDH1A3	protein-coding gene	ENSG00000184254
ALDH1B1	protein-coding gene	ENSG00000137124
ALDH1L1	protein-coding gene	ENSG00000144908
ALDH1L1-AS1	non-coding RNA	ENSG00000250218
ALDH1L1-AS2	non-coding RNA	ENSG00000246022
ALDH1L2	protein-coding gene	ENSG00000136010
ALDH2	protein-coding gene	ENSG00000111275
ALDH3A1	protein-coding gene	ENSG00000108602
ALDH3A2	protein-coding gene	ENSG00000072210
ALDH3B1	protein-coding gene	ENSG00000006534
ALDH3B2	protein-coding gene	ENSG00000132746
ALDH4A1	protein-coding gene	ENSG00000159423
ALDH5A1	protein-coding gene	ENSG00000112294
ALDH6A1	protein-coding gene	ENSG00000119711
ALDH7A1	protein-coding gene	ENSG00000164904
ALDH7A1P1	pseudogene	ENSG00000251400
ALDH7A1P2	pseudogene	ENSG00000232292
ALDH7A1P3	pseudogene	ENSG00000243853
ALDH7A1P4	pseudogene	ENSG00000234489
ALDH8A1	protein-coding gene	ENSG00000118514
ALDH9A1	protein-coding gene	ENSG00000143149
ALDOA	protein-coding gene	ENSG00000149925
ALDOAP1	pseudogene	ENSG00000242849
ALDOAP2	pseudogene	ENSG00000214297
ALDOB	protein-coding gene	ENSG00000136872
ALDOC	protein-coding gene	ENSG00000109107
ALG1	protein-coding gene	ENSG00000033011
ALG10	protein-coding gene	ENSG00000139133
ALG10B	protein-coding gene	ENSG00000175548
ALG11	protein-coding gene	ENSG00000253710
ALG12	protein-coding gene	ENSG00000182858
ALG13	protein-coding gene	ENSG00000101901
ALG13-AS1	non-coding RNA	ENSG00000229487
ALG14	protein-coding gene	ENSG00000172339
ALG14-AS1	non-coding RNA	ENSG00000230427
ALG1L	protein-coding gene	ENSG00000189366
ALG1L10P	pseudogene	ENSG00000254016
ALG1L11P	pseudogene	ENSG00000249889
ALG1L12P	pseudogene	ENSG00000250794
ALG1L13P	pseudogene	ENSG00000253981
ALG1L14P	pseudogene	ENSG00000250268
ALG1L15P	pseudogene	ENSG00000242017
ALG1L2	protein-coding gene	ENSG00000251287
ALG1L3P	pseudogene	ENSG00000251087
ALG1L5P	pseudogene	ENSG00000226943
ALG1L6P	pseudogene	ENSG00000238278
ALG1L7P	pseudogene	ENSG00000251271
ALG1L8P	pseudogene	ENSG00000227620
ALG1L9P	pseudogene	ENSG00000254978
ALG2	protein-coding gene	ENSG00000119523
ALG3	protein-coding gene	ENSG00000214160
ALG3P1	pseudogene	ENSG00000251568
ALG5	protein-coding gene	ENSG00000120697
ALG6	protein-coding gene	ENSG00000088035
ALG8	protein-coding gene	ENSG00000159063
ALG9	protein-coding gene	ENSG00000086848
ALG9-IT1	non-coding RNA	ENSG00000254450
ALK	protein-coding gene	ENSG00000171094
ALKAL1	protein-coding gene	ENSG00000196711
ALKAL2	protein-coding gene	ENSG00000189292
ALKBH1	protein-coding gene	ENSG00000100601
ALKBH2	protein-coding gene	ENSG00000189046
ALKBH3	protein-coding gene	ENSG00000166199
ALKBH3-AS1	non-coding RNA	ENSG00000244926
ALKBH4	protein-coding gene	ENSG00000160993
ALKBH5	protein-coding gene	ENSG00000091542
ALKBH6	protein-coding gene	ENSG00000239382
ALKBH7	protein-coding gene	ENSG00000125652
ALKBH8	protein-coding gene	ENSG00000137760
ALLC	protein-coding gene	ENSG00000151360
ALMS1	protein-coding gene	ENSG00000116127
ALMS1-IT1	non-coding RNA	ENSG00000230002
ALMS1P1	pseudogene	ENSG00000163016
ALOX12	protein-coding gene	ENSG00000108839
ALOX12-AS1	non-coding RNA	ENSG00000215067
ALOX12B	protein-coding gene	ENSG00000179477
ALOX12P1	pseudogene	ENSG00000264958
ALOX12P2	pseudogene	ENSG00000262943
ALOX15	protein-coding gene	ENSG00000161905
ALOX15B	protein-coding gene	ENSG00000179593
ALOX15P1	pseudogene	ENSG00000274114
ALOX15P2	pseudogene	ENSG00000188101
ALOX5	protein-coding gene	ENSG00000012779
ALOX5AP	protein-coding gene	ENSG00000132965
ALOXE3	protein-coding gene	ENSG00000179148
ALOXE3P1	pseudogene	ENSG00000275011
ALPG	protein-coding gene	ENSG00000163286
ALPI	protein-coding gene	ENSG00000163295
ALPK1	protein-coding gene	ENSG00000073331
ALPK2	protein-coding gene	ENSG00000198796
ALPK3	protein-coding gene	ENSG00000136383
ALPL	protein-coding gene	ENSG00000162551
ALPP	protein-coding gene	ENSG00000163283
ALPPP	pseudogene	
ALS2	protein-coding gene	ENSG00000003393
ALS2CL	protein-coding gene	ENSG00000178038
ALX1	protein-coding gene	ENSG00000180318
ALX3	protein-coding gene	ENSG00000156150
ALX4	protein-coding gene	ENSG00000052850
ALYREF	protein-coding gene	ENSG00000183684
AMACR	protein-coding gene	ENSG00000242110
AMBN	protein-coding gene	ENSG00000178522
AMBP	protein-coding gene	ENSG00000106927
AMBRA1	protein-coding gene	ENSG00000110497
AMD1	protein-coding gene	ENSG00000123505
AMD1P1	pseudogene	ENSG00000228339
AMD1P2	pseudogene	ENSG00000237801
AMD1P3	pseudogene	ENSG00000249286
AMD1P4	pseudogene	ENSG00000215124
AMDHD1	protein-coding gene	ENSG00000139344
AMDHD2	protein-coding gene	ENSG00000162066
AMELX	protein-coding gene	ENSG00000125363
AMELY	protein-coding gene	ENSG00000099721
AMER1	protein-coding gene	ENSG00000184675
AMER2	protein-coding gene	ENSG00000165566
AMER3	protein-coding gene	ENSG00000178171
AMFR	protein-coding gene	ENSG00000159461
AMH	protein-coding gene	ENSG00000104899
AMHR2	protein-coding gene	ENSG00000135409
AMIGO1	protein-coding gene	ENSG00000181754
AMIGO2	protein-coding gene	ENSG00000139211
AMIGO3	protein-coding gene	ENSG00000176020
AMLCR2	other	
AMMECR1	protein-coding gene	ENSG00000101935
AMMECR1-IT1	non-coding RNA	ENSG00000224142
AMMECR1L	protein-coding gene	ENSG00000144233
AMMECR1LP1	pseudogene	ENSG00000233273
AMN	protein-coding gene	ENSG00000166126
AMN1	protein-coding gene	ENSG00000151743
AMOT	protein-coding gene	ENSG00000126016
AMOTL1	protein-coding gene	ENSG00000166025
AMOTL2	protein-coding gene	ENSG00000114019
AMPD1	protein-coding gene	ENSG00000116748
AMPD2	protein-coding gene	ENSG00000116337
AMPD3	protein-coding gene	ENSG00000133805
AMPH	protein-coding gene	ENSG00000078053
AMT	protein-coding gene	ENSG00000145020
AMTN	protein-coding gene	ENSG00000187689
AMY1A	protein-coding gene	ENSG00000237763
AMY1B	protein-coding gene	ENSG00000174876
AMY1C	protein-coding gene	ENSG00000187733
AMY2A	protein-coding gene	ENSG00000243480
AMY2B	protein-coding gene	ENSG00000240038
AMYP1	pseudogene	ENSG00000227408
AMZ1	protein-coding gene	ENSG00000174945
AMZ2	protein-coding gene	ENSG00000196704
AMZ2P1	pseudogene	ENSG00000214174
AMZ2P2	pseudogene	ENSG00000219249
AMZ2P3	pseudogene	ENSG00000233807
ANAPC1	protein-coding gene	ENSG00000153107
ANAPC10	protein-coding gene	ENSG00000164162
ANAPC10P1	pseudogene	ENSG00000213735
ANAPC11	protein-coding gene	ENSG00000141552
ANAPC13	protein-coding gene	ENSG00000129055
ANAPC15	protein-coding gene	ENSG00000110200
ANAPC15P1	pseudogene	ENSG00000231619
ANAPC15P2	pseudogene	ENSG00000232601
ANAPC16	protein-coding gene	ENSG00000166295
ANAPC1P1	pseudogene	ENSG00000233673
ANAPC1P2	pseudogene	ENSG00000231259
ANAPC1P3	pseudogene	ENSG00000230395
ANAPC1P4	pseudogene	ENSG00000234231
ANAPC1P5	pseudogene	ENSG00000275597
ANAPC1P6	pseudogene	ENSG00000235486
ANAPC2	protein-coding gene	ENSG00000176248
ANAPC4	protein-coding gene	ENSG00000053900
ANAPC5	protein-coding gene	ENSG00000089053
ANAPC7	protein-coding gene	ENSG00000196510
ANCR	other	
ANG	protein-coding gene	ENSG00000214274
ANGEL1	protein-coding gene	ENSG00000013523
ANGEL2	protein-coding gene	ENSG00000174606
ANGPT1	protein-coding gene	ENSG00000154188
ANGPT2	protein-coding gene	ENSG00000091879
ANGPT4	protein-coding gene	ENSG00000101280
ANGPTL1	protein-coding gene	ENSG00000116194
ANGPTL2	protein-coding gene	ENSG00000136859
ANGPTL3	protein-coding gene	ENSG00000132855
ANGPTL4	protein-coding gene	ENSG00000167772
ANGPTL5	protein-coding gene	ENSG00000187151
ANGPTL6	protein-coding gene	ENSG00000130812
ANGPTL7	protein-coding gene	ENSG00000171819
ANGPTL8	protein-coding gene	ENSG00000130173
ANHX	protein-coding gene	ENSG00000227059
ANK1	protein-coding gene	ENSG00000029534
ANK2	protein-coding gene	ENSG00000145362
ANK2-AS1	non-coding RNA	ENSG00000248152
ANK3	protein-coding gene	ENSG00000151150
ANK3-DT	non-coding RNA	ENSG00000254271
ANKAR	protein-coding gene	ENSG00000151687
ANKDD1A	protein-coding gene	ENSG00000166839
ANKDD1B	protein-coding gene	ENSG00000189045
ANKEF1	protein-coding gene	ENSG00000132623
ANKFN1	protein-coding gene	ENSG00000153930
ANKFY1	protein-coding gene	ENSG00000185722
ANKH	protein-coding gene	ENSG00000154122
ANKHD1	protein-coding gene	ENSG00000131503
ANKHD1-EIF4EBP3	other	ENSG00000254996
ANKIB1	protein-coding gene	ENSG00000001629
ANKK1	protein-coding gene	ENSG00000170209
ANKLE1	protein-coding gene	ENSG00000160117
ANKLE2	protein-coding gene	ENSG00000176915
ANKMY1	protein-coding gene	ENSG00000144504
ANKMY2	protein-coding gene	ENSG00000106524
ANKRA2	protein-coding gene	ENSG00000164331
ANKRD1	protein-coding gene	ENSG00000148677
ANKRD10	protein-coding gene	ENSG00000088448
ANKRD10-IT1	non-coding RNA	ENSG00000229152
ANKRD11	protein-coding gene	ENSG00000167522
ANKRD11P1	pseudogene	ENSG00000234429
ANKRD11P2	pseudogene	ENSG00000231686
ANKRD12	protein-coding gene	ENSG00000101745
ANKRD13A	protein-coding gene	ENSG00000076513
ANKRD13B	protein-coding gene	ENSG00000198720
ANKRD13C	protein-coding gene	ENSG00000118454
ANKRD13D	protein-coding gene	ENSG00000172932
ANKRD16	protein-coding gene	ENSG00000134461
ANKRD17	protein-coding gene	ENSG00000132466
ANKRD18A	protein-coding gene	ENSG00000180071
ANKRD18B	protein-coding gene	ENSG00000230453
ANKRD18CP	pseudogene	ENSG00000159712
ANKRD18DP	pseudogene	ENSG00000226435
ANKRD18EP	pseudogene	ENSG00000217165
ANKRD19P	pseudogene	ENSG00000187984
ANKRD2	protein-coding gene	ENSG00000165887
ANKRD20A1	protein-coding gene	ENSG00000260691
ANKRD20A10P	pseudogene	ENSG00000226695
ANKRD20A11P	pseudogene	ENSG00000215559
ANKRD20A12P	pseudogene	
ANKRD20A13P	pseudogene	
ANKRD20A14P	pseudogene	
ANKRD20A15P	pseudogene	
ANKRD20A16P	pseudogene	
ANKRD20A17P	pseudogene	ENSG00000251056
ANKRD20A18P	pseudogene	ENSG00000249493
ANKRD20A19P	pseudogene	ENSG00000196593
ANKRD20A20P	pseudogene	
ANKRD20A21P	pseudogene	ENSG00000277112
ANKRD20A2P	pseudogene	ENSG00000183148
ANKRD20A3P	pseudogene	ENSG00000276203
ANKRD20A4P	pseudogene	ENSG00000172014
ANKRD20A5P	pseudogene	ENSG00000186481
ANKRD20A6P	pseudogene	ENSG00000274502
ANKRD20A7P	pseudogene	ENSG00000236816
ANKRD20A8P	pseudogene	ENSG00000229089
ANKRD20A9P	pseudogene	ENSG00000206192
ANKRD22	protein-coding gene	ENSG00000152766
ANKRD23	protein-coding gene	ENSG00000163126
ANKRD24	protein-coding gene	ENSG00000089847
ANKRD26	protein-coding gene	ENSG00000107890
ANKRD26P1	pseudogene	ENSG00000261239
ANKRD26P2	pseudogene	ENSG00000235550
ANKRD26P3	pseudogene	ENSG00000237636
ANKRD26P4	pseudogene	ENSG00000229427
ANKRD27	protein-coding gene	ENSG00000105186
ANKRD28	protein-coding gene	ENSG00000206560
ANKRD29	protein-coding gene	ENSG00000154065
ANKRD30A	protein-coding gene	ENSG00000148513
ANKRD30B	protein-coding gene	ENSG00000180777
ANKRD30BL	protein-coding gene	ENSG00000163046
ANKRD30BP1	pseudogene	ENSG00000175302
ANKRD30BP2	pseudogene	ENSG00000224309
ANKRD30BP3	pseudogene	ENSG00000230501
ANKRD31	protein-coding gene	ENSG00000145700
ANKRD33	protein-coding gene	ENSG00000167612
ANKRD33B	protein-coding gene	ENSG00000164236
ANKRD33B-AS1	non-coding RNA	ENSG00000250106
ANKRD34A	protein-coding gene	ENSG00000272031
ANKRD34B	protein-coding gene	ENSG00000189127
ANKRD34C	protein-coding gene	ENSG00000235711
ANKRD34C-AS1	non-coding RNA	ENSG00000259234
ANKRD35	protein-coding gene	ENSG00000198483
ANKRD36	protein-coding gene	ENSG00000135976
ANKRD36B	protein-coding gene	ENSG00000196912
ANKRD36BP1	pseudogene	ENSG00000214262
ANKRD36BP2	pseudogene	ENSG00000230006
ANKRD36C	protein-coding gene	ENSG00000174501
ANKRD36P1	pseudogene	ENSG00000188399
ANKRD37	protein-coding gene	ENSG00000186352
ANKRD39	protein-coding gene	ENSG00000213337
ANKRD40	protein-coding gene	ENSG00000154945
ANKRD40CL	protein-coding gene	ENSG00000167117
ANKRD42	protein-coding gene	ENSG00000137494
ANKRD44	protein-coding gene	ENSG00000065413
ANKRD44-AS1	non-coding RNA	ENSG00000231621
ANKRD44-IT1	non-coding RNA	ENSG00000236977
ANKRD45	protein-coding gene	ENSG00000183831
ANKRD46	protein-coding gene	ENSG00000186106
ANKRD49	protein-coding gene	ENSG00000168876
ANKRD49P1	pseudogene	ENSG00000228446
ANKRD49P2	pseudogene	ENSG00000225349
ANKRD49P3	pseudogene	ENSG00000248616
ANKRD49P4	pseudogene	ENSG00000214684
ANKRD50	protein-coding gene	ENSG00000151458
ANKRD52	protein-coding gene	ENSG00000139645
ANKRD53	protein-coding gene	ENSG00000144031
ANKRD54	protein-coding gene	ENSG00000100124
ANKRD54P1	pseudogene	ENSG00000236442
ANKRD55	protein-coding gene	ENSG00000164512
ANKRD6	protein-coding gene	ENSG00000135299
ANKRD60	protein-coding gene	ENSG00000124227
ANKRD61	protein-coding gene	ENSG00000157999
ANKRD62	protein-coding gene	ENSG00000181626
ANKRD62P1	pseudogene	ENSG00000259271
ANKRD62P1-PARP4P3	other	ENSG00000189295
ANKRD63	protein-coding gene	ENSG00000230778
ANKRD65	protein-coding gene	ENSG00000235098
ANKRD66	protein-coding gene	ENSG00000230062
ANKRD7	protein-coding gene	ENSG00000106013
ANKRD9	protein-coding gene	ENSG00000156381
ANKS1A	protein-coding gene	ENSG00000064999
ANKS1B	protein-coding gene	ENSG00000185046
ANKS3	protein-coding gene	ENSG00000168096
ANKS4B	protein-coding gene	ENSG00000175311
ANKS6	protein-coding gene	ENSG00000165138
ANKUB1	protein-coding gene	ENSG00000206199
ANKZF1	protein-coding gene	ENSG00000163516
ANLN	protein-coding gene	ENSG00000011426
ANO1	protein-coding gene	ENSG00000131620
ANO1-AS1	non-coding RNA	ENSG00000254902
ANO10	protein-coding gene	ENSG00000160746
ANO2	protein-coding gene	ENSG00000047617
ANO3	protein-coding gene	ENSG00000134343
ANO3-AS1	non-coding RNA	ENSG00000254819
ANO4	protein-coding gene	ENSG00000151572
ANO5	protein-coding gene	ENSG00000171714
ANO6	protein-coding gene	ENSG00000177119
ANO7	protein-coding gene	ENSG00000146205
