Gene name	Human gene name
Zbtb10	ZBTB10
	BEX2
	BEX1
Tmem129	TMEM129
Kynu	KYNU
Arhgap9	ARHGAP9
Chrm1	CHRM1
Eif3f	EIF3F
Naf1	NAF1
Tmeff2	TMEFF2
Tm2d3	TM2D3
Akirin2	AKIRIN2
Zfp281	ZNF281
Polr2g	POLR2G
Pex11b	PEX11B
Nedd1	NEDD1
Dnajc30	DNAJC30
Spred3	SPRED3
Tmem72	TMEM72
Inhbc	INHBC
	MS4A10
Scrg1	SCRG1
Oaz2	OAZ2
Supt4a	SUPT4H1
Adra1b	ADRA1B
	PQBP1
Entpd2	ENTPD2
Glyatl3	GLYATL3
	SOX17
Usp54	USP54
Pnkd	PNKD
Fads1	FADS1
	PRC1
Aqp6	AQP6
E2f5	E2F5
Wee2	WEE2
Timp2	TIMP2
Eva1a	EVA1A
Ahdc1	AHDC1
Mettl25b	METTL25B
Gsr	GSR
Ccdc40	CCDC40
Vamp1	VAMP1
Rai14	RAI14
Wdr59	WDR59
Serinc1	SERINC1
Reep1	REEP1
Ifrd1	IFRD1
Lemd3	LEMD3
	CDC5L
	RIN3
Wdr73	WDR73
Nkx1-1	NKX1-1
Itprip	ITPRIP
	MARK2
Gpr39	GPR39
Rhebl1	RHEBL1
Myo1b	MYO1B
S100a6	S100A6
	POU6F2
Ano7	ANO7
Ttc34	TTC34
Olfm4	OLFM4
Klf16	KLF16
Ttc9c	TTC9C
Pigr	PIGR
Septin12	SEPTIN12
Eef2k	EEF2K
Btg3	BTG3
Cd177	CD177
Pmpca	PMPCA
Copg2	COPG2
Spindoc	SPINDOC
Nts	NTS
Sos2	SOS2
Ccdc33	CCDC33
Kcnj14	KCNJ14
Foxk1	FOXK1
Gdf3	GDF3
4931414P19Rik	C14orf93
Atp2c1	ATP2C1
Wdr5	WDR5
Ssx2ip	SSX2IP
Xkr7	XKR7
Ptx3	PTX3
Rif1	RIF1
Zfp606	ZNF606
Cfap58	CFAP58
Eif3d	EIF3D
Kat2b	KAT2B
Hnrnpul2	HNRNPUL2
Rere	RERE
Pramel12	PRAMEF7
Pramel12	PRAMEF20
Pramel12	PRAMEF1
Pramel12	PRAMEF12
Pramel12	PRAMEF10
Pramel12	PRAME
Pramel12	PRAMEF27
Pramel12	PRAMEF26
Pramel12	PRAMEF5
Pramel12	PRAMEF33
Pramel12	PRAMEF15
Pramel12	PRAMEF6
Pramel12	PRAMEF4
Pramel12	PRAMEF14
Pramel12	PRAMEF11
Pramel12	PRAMEF19
Pramel12	PRAMEF25
Pramel12	PRAMEF13
Pramel12	PRAMEF9
Pramel12	PRAMEF2
Pramel12	PRAMEF18
Pramel12	PRAMEF8
Pramel12	PRAMEF17
Slc10a1	SLC10A1
Ankrd53	ANKRD53
Fxyd4	FXYD4
Plk1	PLK1
Tiparp	TIPARP
Uevld	UEVLD
4930505A04Rik	C2orf73
	GGT7
Slc25a37	SLC25A37
Pdpn	PDPN
Slc22a8	SLC22A8
Dpy19l3	DPY19L3
Micos10	MICOS10
Gm4847	
Pgr15l	
Slitrk3	SLITRK3
Fkbp9	FKBP9
Knop1	KNOP1
Zfp358	ZNF358
Ern2	ERN2
Atic	ATIC
Pkp1	PKP1
Cry1	CRY1
Sap30	SAP30
Dmbx1	DMBX1
	PTPN6
Cmip	CMIP
Guca2a	GUCA2A
Agap1	AGAP1
Sbk3	SBK3
	XBP1
	ARPP19
Ralgapa1	RALGAPA1
	TLE1
Srrm4	SRRM4
Gdf6	GDF6
Vps13c	VPS13C
Naa40	NAA40
	ROCK2
Cdc20	CDC20
Kcnb2	
Etfb	ETFB
Six4	SIX4
	CLDN34
Ccnyl1	CCNYL1B
Gskip	GSKIP
Dffa	DFFA
Alpk1	ALPK1
Pltp	PLTP
Rps4x	RPS4X
Pkdcc	PKDCC
Tbl2	TBL2
Dio2	DIO2
Fam219b	FAM219B
Pdzd9	PDZD9
Susd6	SUSD6
Mt2a	MT1F
Krtap1-3	KRTAP10-4
Krtap1-3	KRTAP10-11
	GSTA5
Hoxb1	HOXB1
Tmed5	TMED5
Ehd3	EHD3
Cpsf6	CPSF6
	PDLIM5
Agbl2	AGBL2
Pam	PAM
Col12a1	COL12A1
Cyp24a1	CYP24A1
Med9	MED9
Cttnbp2nl	CTTNBP2NL
Slitrk6	SLITRK6
Itga3	ITGA3
Cdk18	CDK18
Dnajc9	DNAJC9
Vwce	VWCE
Tcf19	TCF19
Qtrt2	QTRT2
Gulo	
Alkbh6	ALKBH6
Mc5r	MC5R
	LCN2
	GUF1
Scnn1b	SCNN1B
Erich6	ERICH6
B3gnt5	B3GNT5
Zfp74	ZNF569
Prkdc	PRKDC
Pglyrp2	PGLYRP2
Prpsap2	PRPSAP2
Ccdc171	CCDC171
Ubxn8	UBXN8
Fcgrt	FCGRT
Xpa	XPA
Psmd12	PSMD12
	DNAH1
Serpina16	
Gipc2	GIPC2
Hectd4	HECTD4
Trdmt1	TRDMT1
Senp8	SENP8
Crtc3	CRTC3
	ROBO1
Tcf25	TCF25
Coq3	COQ3
Comt	COMT
Dennd2c	DENND2C
Misfa	
Rasgrf1	RASGRF1
Plaat5	PLAAT5
Lonp1	LONP1
Sox8	SOX8
Syt13	SYT13
	TMUB1
Ubxn10	UBXN10
Mrpl20	MRPL20
Abca4	ABCA4
Bltp3b	BLTP3B
Slamf8	SLAMF8
	MDH2
Mrpl15	MRPL15
Thumpd1	THUMPD1
Scaf4	SCAF4
Slc25a13	SLC25A13
Enpp4	ENPP4
Cer1	CER1
Gsto1	GSTO1
Ranbp2	RANBP2
Ptges	PTGES
Slc22a19	SLC22A9
Acan	ACAN
Mdfi	MDFI
Rps13	RPS13
	PALB2
Gtf2b	GTF2B
Ninj1	NINJ1
Trp53inp1	TP53INP1
Il20	IL20
Dcp2	DCP2
Gid4	GID4
Ccl12	CCL8
Tpsg1	TPSG1
Eml6	EML6
Syt2	SYT2
Slc26a2	SLC26A2
	ECHDC2
Zfta	ZFTA
Dctn2	DCTN2
Abca17	
Aplp2	APLP2
	ZNF653
Dnaja2	DNAJA2
Mbd2	
Tvp23a	TVP23A
Bche	BCHE
	ZNF626
	ZNF675
	ZNF479
	ZNF431
	ZNF723
	ZNF730
	ZNF430
	ZNF737
	ZNF253
	ZNF680
	ZNF257
	ZNF100
	ZNF66
	ZNF98
	ZNF273
	ZNF92
Soga1	SOGA1
Rassf3	RASSF3
Otoa	OTOA
Gpr55	GPR55
Macir	MACIR
	ATP6V0D1
Ttll4	TTLL4
Ankle1	ANKLE1
Cdc25b	CDC25B
Hes1	HES1
Cplx1	CPLX1
Tex43	SPMIP10
Gucy2g	
Pcolce2	PCOLCE2
Nup214	NUP214
BC030500	
Ptprz1	PTPRZ1
	SLC22A9
Nagpa	NAGPA
Nipsnap3b	NIPSNAP3A
Il18	IL18
Hs3st3a1	HS3ST3A1
Coq2	COQ2
Gpsm3	GPSM3
Rimoc1	RIMOC1
Vrk2	VRK2
Tead3	TEAD3
Fam78b	FAM78B
Rap1a	RAP1A
Tmcc2	TMCC2
	DNM2
Gmpr	GMPR
Doc2b	DOC2B
Mroh3	
Wasf1	WASF1
Bpifa3	BPIFA3
Fbxl20	FBXL20
Kcnmb1	KCNMB1
Adgrb2	ADGRB2
Scn3b	SCN3B
Proser2	PROSER2
Dhx34	DHX34
	SLC34A1
	FKBP2
Txndc9	TXNDC9
Elovl2	ELOVL2
Specc1l	SPECC1L
Car15	
Morf4l1	MORF4L1
Rab6a	RAB6A
Eml4	EML4
Bpnt2	BPNT2
	PTPN22
Dagla	DAGLA
Hsd17b8	HSD17B8
Rd3l	RD3L
Ptchd4	PTCHD4
Gpr139	GPR139
Tgm4	TGM4
Ttc39a	TTC39A
Rab2b	RAB2B
Bicdl2	BICDL2
Zfp454	ZNF454
	GSTM5
Magt1	MAGT1
Dhrs4	DHRS4
	SYT11
Or5ap2	OR5AP2
Chp2	CHP2
Plin3	PLIN3
Cenpq	CENPQ
Itpkb	ITPKB
Tnfaip8l3	TNFAIP8L3
Incenp	INCENP
Nalcn	NALCN
Jhy	JHY
	SLFN13
	SLFN11
	ZNF500
Snx25	SNX25
Cep131	CEP131
Lsmem1	LSMEM1
Tgfbr1	TGFBR1
Erfe	ERFE
Rlig1	RLIG1
Cdc27	CDC27
Kiss1	KISS1
Hmgb2	HMGB2
Arrb2	ARRB2
Slc43a3	SLC43A3
Cep126	CEP126
Amd1	AMD1
Nr1i3	NR1I3
Glce	GLCE
Ndufb4	NDUFB4
Fyb2	FYB2
Sema3c	SEMA3C
Mrpl4	MRPL4
Prss32	
Kbtbd2	KBTBD2
Acox2	ACOX2
Krit1	KRIT1
Vwa3a	VWA3A
Afp	AFP
Fam193a	FAM193A
Bap1	BAP1
Aga	AGA
Lrp10	LRP10
Mrps30	MRPS30
Tnpo3	TNPO3
Csrp1	CSRP1
Surf1	SURF1
Spry4	SPRY4
Clrn2	CLRN2
Nhsl2	NHSL2
Zdhhc19	ZDHHC19
Zfp148	ZNF148
Pate10	
Slc22a12	SLC22A12
Zc3hav1l	ZC3HAV1L
Foxa1	FOXA1
Taf1b	TAF1B
Alx3	ALX3
Gm527	C14orf28
Polr2m	POLR2M
Trip11	TRIP11
Mcrs1	MCRS1
Brdt	BRDT
Lvrn	LVRN
	NCOA7
Tbc1d8b	TBC1D8B
Mrap2	MRAP2
Erich4	ERICH4
Lalba	LALBA
Tff2	TFF2
Slc25a27	SLC25A27
Als2	ALS2
Tmem50b	TMEM50B
Ryk	RYK
Kcnk4	KCNK4
Lilra5	LILRB5
Lilra5	LILRA6
Lilra5	LILRB4
Lilra5	LILRA5
Lilra5	LILRA4
Lilra5	LILRB3
Cfap43	CFAP43
Cyp46a1	CYP46A1
Tmem236	TMEM236
Ids	IDS
Rcbtb2	RCBTB2
Hnrnpr	HNRNPR
Mib1	MIB1
Ttc7b	TTC7B
Uso1	USO1
Samd8	SAMD8
	TMEM62
Smagp	SMAGP
Snx16	SNX16
Abcb5	ABCB5
Sftpc	SFTPC
Gorab	GORAB
Krt16	KRT16
Khk	KHK
Setd2	SETD2
Serbp1	SERBP1
Reg3gamma	REG1B
Gga2	GGA2
	FAM110B
Pax4	PAX4
Ndufb9	NDUFB9
Lman2	LMAN2
Sv2b	SV2B
Ppp2r2c	PPP2R2C
Mamstr	MAMSTR
Myh8	MYH8
Rcor2	RCOR2
	UBE2S
	INAVA
Atp1a4	ATP1A4
Arap1	ARAP1
Lrrc14b	LRRC14B
Tmco3	TMCO3
Omd	OMD
Cdx1	CDX1
Hsf3	
Atr	ATR
Exog	EXOG
	TIMM17B
Rbfox3	RBFOX3
C2cd2	C2CD2
Ccdc91	CCDC91
Slc15a4	SLC15A4
Zpbp2	ZPBP2
Usf1	USF1
	APC
Vsig8	VSIG8
Hddc3	HDDC3
Tbata	TBATA
Mpi	MPI
Nob1	NOB1
Acsm5	ACSM5
Cbln4	CBLN4
Rnf212	RNF212
	PPP1R7
Ralbp1	RALBP1
Bmp15	BMP15
Hook2	HOOK2
	HSD3B2
	HSD3B1
Kif5a	KIF5A
Wdcp	WDCP
Greb1l	GREB1L
Laptm5	LAPTM5
Gpr137	GPR137
Prickle2	PRICKLE2
Col17a1	COL17A1
Clec5a	CLEC5A
Sgo1	SGO1
Barhl2	BARHL2
Pwwp3b	PWWP3B
Gask1b	GASK1B
Tmem18	TMEM18
Soga3	SOGA3
Rpl18	
Catsperz	CATSPERZ
Smpdl3a	SMPDL3A
Slc2a8	SLC2A8
Pxn	PXN
Capn8	CAPN8
Tmem120b	TMEM120B
Swap70	SWAP70
Rad54b	RAD54B
Bad	BAD
Higd1a	HIGD1A
Corin	CORIN
Csrnp2	CSRNP2
Cfap90	CFAP90
	MIA3
	DZIP1L
Lipc	LIPC
AU018091	
Scn4a	SCN4A
Nfatc1	NFATC1
Rint1	RINT1
C3	C3
Cog7	COG7
Spata20	SPATA20
Dnajb4	DNAJB4
Ptger2	PTGER2
Or2j3	OR2J3
Or2j3	OR2J1
Or2j3	OR2J2
Endou	ENDOU
Ncor2	NCOR2
Lax1	LAX1
Serping1	SERPING1
Nr2e1	NR2E1
Rab11fip2	RAB11FIP2
Kansl1l	KANSL1L
	RTN3
Fam178b	FAM178B
Aacs	AACS
Fancg	FANCG
Pdp2	PDP2
Sf3b3	SF3B3
Dnajc6	DNAJC6
Gm5485	C3orf85
Tma16	TMA16
Bloc1s6	BLOC1S6
Trim45	TRIM45
Sycn	SYCN
	NCAPD2
Or5m12	
Nr4a1	NR4A1
	DIAPH1
Lrit2	LRIT2
Grip2	GRIP2
Khdrbs2	KHDRBS2
Stk11	STK11
Plaat3	PLAAT3
Nbea	NBEA
Gm6569	C8orf90
Sgip1	SGIP1
Dtnb	
	NNT
Cenpm	CENPM
Ruvbl2	RUVBL2
Gm5737	SDR42E2
	ATP5MK
	ARHGEF2
	CCL1
Egfl8	EGFL8
Arl4a	ARL4A
Grhl1	GRHL1
Trmt112	TRMT112
Pnpt1	PNPT1
Agpat5	AGPAT5
Ndfip1	NDFIP1
Ramp1	RAMP1
Spred2	SPRED2
Ccdc88a	CCDC88A
Fth1	
Nsun3	NSUN3
Ccdc74a	CCDC74B
Ccdc74a	CCDC74A
Dcun1d3	DCUN1D3
Gper1	GPER1
Dlg5	DLG5
Tmx2	TMX2
Sarm1	SARM1
Itgb6	ITGB6
Aff4	AFF4
Tatdn1	TATDN1
Ptpn11	PTPN11
Elp3	ELP3
Pfkfb2	PFKFB2
Nrxn3	NRXN3
Dnai1	DNAI1
Slc22a6	SLC22A6
Bpifa2	BPIFA2
Fem1c	FEM1C
	QSOX1
Tex46	TEX46
Emx1	EMX1
Usp31	USP31
Fgf7	FGF7
Glipr2	GLIPR2
Rangap1	RANGAP1
Prkrip1	PRKRIP1
Zdhhc23	ZDHHC23
Noct	NOCT
ccdc198	CCDC198
Ifng	IFNG
Lysmd4	LYSMD4
Kntc1	KNTC1
Abl2	ABL2
Acad9	ACAD9
Lactbl1	LACTBL1
Plekha2	PLEKHA2
	COCH
Herc2	HERC2
Stx5a	STX5
Clic3	CLIC3
Zfp637	ZNF32
Pck2	PCK2
Cxadr	CXADR
Eri2	ERI2
Taf5	TAF5
	ZFAND3
Cep152	CEP152
Lypd6b	LYPD6B
Dexi	DEXI
Dok7	DOK7
	CCL21
Tspan12	TSPAN12
	LBHD1
Or5ak23	OR5AK3P
Or5ak23	OR5AK2
Plaa	PLAA
Sik3	SIK3
	CHCHD4
Smu1	SMU1
Tmsb4x	TMSB4Y
Prdm15	PRDM15
Miox	MIOX
Kctd16	KCTD16
Nat1	NAT2
Nat1	NAT1
Fhl3	FHL3
	USPL1
Aqp12	AQP12B
Aqp12	AQP12A
Ccdc24	CCDC24
Rab27a	RAB27A
Slc66a3	SLC66A3
Abca14	
Flnb	FLNB
A930003A15Rik	
Mtcp1	MTCP1
Kcnq4	KCNQ4
Bag6	BAG6
Ssrp1	SSRP1
Cnp	CNP
Lancl1	LANCL1
	CGRRF1
Cyp2ab1	
Garin4	GARIN4
Nop9	NOP9
Ganab	GANAB
	OR7D4
Pcdhac2	PCDHAC2
Dsc3	DSC3
Ndfip2	NDFIP2
Krt35	KRT35
Tdrd12	TDRD12
Tmem132c	TMEM132C
Fundc2	FUNDC2
Farp2	FARP2
Mastl	MASTL
Foxj2	FOXJ2
Nos1ap	NOS1AP
	FLNA
Mitd1	MITD1
Nup35	NUP35
Zfp866	ZNF700
Zfp866	ZNF563
Zfp866	ZNF44
Zfp866	ZNF442
Zfp866	ZNF433
Zfp866	ZNF441
Zfp866	ZNF823
Zfp866	ZNF799
Zfp866	ZNF443
	SEC31A
Btbd10	BTBD10
	SPINK9
	LRBA
Katnip	KATNIP
Tspan11	TSPAN11
Abtb3	ABTB3
Ttl	TTL
Cytl1	CYTL1
Elapor2	ELAPOR2
Zfp78	ZNF124
Zfp78	ZNF20
Zfp78	ZNF705A
Zfp78	ZNF705D
Zfp78	ZNF705B
Zfp78	ZNF705G
Zfp78	ZNF556
Zfp78	ZNF337
Zfp78	ZNF669
Zfp78	ZNF491
Zfp78	ZNF440
Zfp78	ZNF69
Zfp78	ZNF439
Zfp78	ZNF763
Zfp78	ZNF555
Zfp78	ZNF554
Zfp78	ZNF891
Zfp78	PRDM9
Zfp78	ZNF749
Zfp78	ZNF560
Zfp78	KRBOX4
Zfp78	ZNF674
Elovl3	ELOVL3
	LCK
Il1rl1	IL1RL1
Lrrk2	LRRK2
Smtn	SMTN
Mycbp	MYCBP
Foxo3	FOXO3
Aak1	AAK1
Tgif2	TGIF2
Orc4	ORC4
	ACTR1A
Helz	HELZ
Cops5	COPS5
Lpar1	LPAR1
Dzip1	DZIP1
Derl2	DERL2
Sec61g	SEC61G
Tex38	TEX38
Iyd	IYD
Macrod1	MACROD1
Prmt7	PRMT7
Gm11437	C17orf78
Ubn2	UBN2
Hira	HIRA
Vinac1	
Selenoh	SELENOH
Cwf19l2	CWF19L2
	DGKD
Ap3d1	AP3D1
Limk1	LIMK1
Ehd1	EHD1
Aldh5a1	ALDH5A1
Pnlip	PNLIP
	CAPS
Pde4a	PDE4A
Itpkc	ITPKC
Arfgef1	ARFGEF1
Etf1	ETF1
Tep1	TEP1
Siae	SIAE
Vegfb	VEGFB
Tdp1	TDP1
Ap1b1	AP1B1
Alppl2	ALPP
Alppl2	ALPI
Alppl2	ALPG
Pde1c	PDE1C
Cd5l	CD5L
	GP2
1700030K09Rik	C19orf44
S1pr3	S1PR3
Prodh	PRODH
Prodh	
Stau1	STAU1
Stim1	STIM1
Thrsp	THRSP
Scyl2	SCYL2
Ahcyl1	AHCYL1
Sytl3	SYTL3
	OR2W3
Mbnl2	MBNL2
Bcas2	BCAS2
Pdilt	PDILT
	EDF1
Svopl	SVOPL
	TSEN2
Adgra2	ADGRA2
Dctn4	DCTN4
Slc44a1	SLC44A1
Smim19	SMIM19
Timm13	TIMM13
Klhl28	KLHL28
Amtn	AMTN
	TCP11
	PCOLCE
Angptl1	ANGPTL1
Chd3	CHD3
Hgh1	HGH1
Ilf2	ILF2
Osbpl7	OSBPL7
Vps13b	VPS13B
Bub1	BUB1
	ARHGEF17
Myod1	MYOD1
Nae1	NAE1
Nsun4	
Slc4a8	SLC4A8
Rusc2	RUSC2
Prss59	
Arhgef1	ARHGEF1
	EBP
	POTEA
Sfrp2	SFRP2
Fbxo24	FBXO24
Gm13539	
Ubxn2a	UBXN2A
Yod1	YOD1
Umod	UMOD
Ift88	IFT88
	CIT
Zmynd8	ZMYND8
Tjp1	TJP1
	ARMCX6
Vps50	VPS50
Prickle4	PRICKLE4
Aldh8a1	ALDH8A1
Mov10	MOV10
Kcnn2	KCNN2
Cfap36	CFAP36
Med16	MED16
Golph3	GOLPH3
Fam104a	
Brinp1	BRINP1
Jsrp1	JSRP1
Srbd1	SRBD1
1700001P01Rik	SPMAP1
Jkamp	JKAMP
Cfap298	CFAP298
Nox3	NOX3
Preb	PREB
Ptgfr	PTGFR
Pram1	PRAM1
Lrg1	LRG1
Insc	INSC
Ica1l	ICA1L
Nat2	NAT2
Nat2	NAT1
Nkx2-4	NKX2-4
Atp6v0e	ATP6V0E1
Rnf13	RNF13
Sf3a3	SF3A3
Rnf168	RNF168
Spidr	SPIDR
Calcoco1	CALCOCO1
Pdzd2	PDZD2
Tbce	TBCE
Rabep1	RABEP1
Ccdc121rt2	
Tmem270	TMEM270
Ereg	EREG
Sebox	SEBOX
Syndig1l	SYNDIG1L
Cftr	CFTR
Kctd8	KCTD8
Slc5a10	SLC5A10
Acsm1	ACSM1
Itga9	ITGA9
Msl3	
Zic2	ZIC2
Ice2	ICE2
Spef2	SPEF2
Fam186b	FAM186B
Ccdc112	CCDC112
Gnl3l	GNL3L
Slc16a7	SLC16A7
Abcd3	ABCD3
Hydin	HYDIN
B3galnt2	B3GALNT2
	SYCP2L
Sall2	SALL2
Pid1	PID1
Ski	SKI
Mcm7	MCM7
Prpf6	PRPF6
Ptgr1	PTGR1
	C2orf50
Mfsd14a	MFSD14A
Ppp1r9b	PPP1R9B
Inpp5j	INPP5J
Stkld1	STKLD1
Pld6	PLD6
	RACGAP1
Or5h17	OR5H8
Or5h17	OR5H6
Or5h17	OR5H15
Or5h17	OR5H2
Or5h17	OR5H14
Or5h17	OR5H1
Gnpda1	GNPDA1
Coa5	COA5
Bin3	BIN3
Snta1	SNTA1
Myrf	MYRF
Igsf3	IGSF3
Nrap	NRAP
	NPFFR2
	NUDT11
Prop1	PROP1
Tex15	TEX15
	CES1
Apex1	APEX1
Ttc12	TTC12
	CCDC122
Nfatc2ip	NFATC2IP
Dyrk4	DYRK4
Dhh	DHH
Ifnar1	IFNAR1
Poldip3	POLDIP3
Ccdc63	
H2-Oa	HLA-DOA
3425401B19Rik	C10orf71
	EIF4B
	TNS3
Iho1	IHO1
1700012B09Rik	C11orf97
Fkbp10	FKBP10
Tpt1	TPT1
	OAS3
Plxna1	PLXNA1
	PMS2
Med23	MED23
Pmch	PMCH
Il21r	IL21R
Dnah10	DNAH10
Lmcd1	LMCD1
Psmd14	PSMD14
Mettl14	METTL14
Adcy2	ADCY2
Slc8a1	SLC8A1
Rab33a	RAB33A
Ism2	ISM2
Or10am5	
	SPDYE3
	SPDYE4
	SPDYE16
	SPDYE21
	SPDYE12
	SPDYE9
	SPDYE6
	SPDYE11
	SPDYE1
	SPDYE5
	SPDYE13
	SPDYE14
	SPDYE17
	SPDYE8
	SPDYE10
	SPDYE18
	SPDYE15
	SPDYE2B
	SPDYE2
Rab33b	RAB33B
Csde1	CSDE1
Pabpn1l	PABPN1L
Trim14	TRIM14
Nek6	NEK6
Acsbg3	
Glp1r	GLP1R
Bin2	BIN2
Nova2	NOVA2
Cep57l1	CEP57L1
Cnr1	CNR1
Srrm2	SRRM2
Aoah	AOAH
Trp53tg5	TP53TG5
Pitpnc1	PITPNC1
Nckap5	NCKAP5
Acsm3	ACSM3
Dhx40	DHX40
Apool	APOOL
Zfp532	ZNF532
Sccpdh	SCCPDH
Crip1	CRIP1
Slc35a3	SLC35A3
	LRRIQ3
Il17a	IL17A
Arl9	ARL9
Cd53	CD53
Kif1c	KIF1C
Klrc1	KLRC1
2610528J11Rik	C1orf210
Dennd2b	DENND2B
Cdk7	CDK7
Sf1	SF1
Tbc1d9b	TBC1D9B
Lrtm1	LRTM1
Ccdc38	CCDC38
Zbtb22	ZBTB22
Rnf157	RNF157
Ofd1	OFD1
Slco1c1	SLCO1C1
1700024G13Rik	C10orf53
Fam24b	
Scamp5	SCAMP5
Pfkp	PFKP
Dennd11	DENND11
	MDN1
Insyn2b	INSYN2B
Rps6ka5	RPS6KA5
	CD55
Krtap22-2	
	CYP51A1
Ppp2r5b	PPP2R5B
Wfikkn2	WFIKKN2
Dkk4	DKK4
Triap1	TRIAP1
Phtf2	PHTF2
Bola3	BOLA3
Slc7a13	SLC7A13
Trex1	TREX1
Serpinb13	SERPINB13
Adamts19	ADAMTS19
Gimap4	GIMAP4
Cdc45	CDC45
Etnppl	ETNPPL
Adgrg7	ADGRG7
Mfsd13a	MFSD13A
Trpt1	TRPT1
Rnf227	RNF227
Maco1	MACO1
Pomt1	POMT1
Ctdspl	CTDSPL
Or6z7	
Tmem119	TMEM119
Fbxl4	FBXL4
Faap20	FAAP20
	NAA50
Abca15	
	TCIRG1
Snx31	SNX31
Slc14a1	SLC14A1
Laptm4b	LAPTM4B
	B4GALT3
	CLCA4
Il9r	IL9R
Hpf1	HPF1
	TXN2
	ACTR3
Eno3	ENO3
Mmaa	MMAA
Acss3	ACSS3
Gdap2	GDAP2
Flad1	FLAD1
Pip5k1c	PIP5K1C
Zfp69	ZFP69
Gata4	GATA4
Cdca5	CDCA5
Kif3a	KIF3A
Zbtb14	ZBTB14
Lrrc10	LRRC10
Adal	ADAL
St3gal2	ST3GAL2
Rsbn1	RSBN1
Zc2hc1c	ZC2HC1C
Ninj2	NINJ2
Sumf1	SUMF1
Pls1	PLS1
Rgma	RGMA
Rdx	RDX
Homer3	HOMER3
Rps27l	RPS27L
Jchain	JCHAIN
Vps53	VPS53
Sh3bp2	SH3BP2
Fcf1	FCF1
Ube3c	UBE3C
Rps6ka4	RPS6KA4
Tprg	TPRG1
Fhl1	
Mul1	MUL1
Sorl1	SORL1
Mid2	MID2
Gucy2c	GUCY2C
Igsf6	IGSF6
Sulf2	SULF2
Ino80c	INO80C
Tmprss11d	TMPRSS11D
Gm45261	CCDC195
	BRIX1
Rpp25l	RPP25L
Gpi1	GPI
Klb	KLB
	DNAH14
Gsg1l	GSG1L
Slc24a3	SLC24A3
Btbd3	BTBD3
Smpdl3b	SMPDL3B
Zpr1	ZPR1
Bcl2l12	BCL2L12
Sult1c2	SULT1C2
Phf7	PHF7
Slc46a2	SLC46A2
C130074G19Rik	C1orf115
Ppargc1b	PPARGC1B
Cdr2	CDR2
Pif1	PIF1
Rhoj	RHOJ
Slc32a1	SLC32A1
Txndc16	TXNDC16
Tsga13	TSGA13
	GSX1
Mkrn2	MKRN2
Meis3	MEIS3
Noa1	NOA1
Eml3	EML3
Batf3	BATF3
Lmbr1l	LMBR1L
Nsun2	NSUN2
Ldaf1	LDAF1
Dgkb	DGKB
Bsdc1	BSDC1
Cep15	CEP15
Cxcl10	CXCL10
Bcl11b	BCL11B
Efhd1	EFHD1
Zfp697	ZNF697
Nbl1	NBL1
Sptssa	SPTSSA
Wscd1	WSCD1
Rcc1l	RCC1L
Jph2	JPH2
Tmc5	TMC5
	HMGB1P1
E2f6	E2F6
Myot	MYOT
Tnfrsf11a	TNFRSF11A
Lrrc18	LRRC18
Gstm2	GSTM1
Pate6	
Cdc42ep2	CDC42EP2
	ABI3BP
Dedd2	DEDD2
4930455H04Rik	
	ARPC1A
Nxnl2	NXNL2
Mid1ip1	MID1IP1
Lamc1	LAMC1
Lap3	LAP3
Hgfac	HGFAC
Mfap3l	MFAP3L
Rnf167	RNF167
Slc26a6	SLC26A6
Mettl3	METTL3
	MBD4
Gpr3	GPR3
	ZNF845
Grid2ip	GRID2IP
Ebf1	EBF1
Nrm	NRM
Galnt11	GALNT11
Guca1a	GUCA1A
Opn5	OPN5
Tex45	SAXO5
Abca1	ABCA1
Slc30a6	SLC30A6
Hacd1	HACD1
Erlin2	ERLIN2
Pygm	PYGM
1700025G04Rik	C1orf21
Azgp1	AZGP1
Lgals3bp	LGALS3BP
Ptger4	PTGER4
Psmg1	PSMG1
Asb10	ASB10
	PUF60
	XRN1
Prss37	PRSS37
Aox1	AOX1
Flt4	FLT4
Smim29	SMIM29
Slc9c1	SLC9C1
Usp42	USP42
Nrn1l	NRN1L
Psmd3	PSMD3
Gsta3	GSTA5
Lrrfip2	LRRFIP2
Wdr26	WDR26
Plod3	PLOD3
Ptprq	PTPRQ
S100a3	S100A3
Rsph1	RSPH1
Trim32	TRIM32
Gnpnat1	GNPNAT1
D130043K22Rik	KIAA0319
Tmem126b	TMEM126B
	ASH2L
Polr3e	POLR3E
Apoc2	APOC2
Gpank1	GPANK1
Grxcr1	GRXCR1
Tmem199	TMEM199
Tnfsf10	TNFSF10
Arg1	ARG1
Hmx1	HMX1
Tnf	TNF
Vsnl1	VSNL1
Zfp763	ZNF778
Cdk3	CDK3
Phgdh	PHGDH
Dnaaf2	DNAAF2
	CAAP1
Vcpip1	VCPIP1
Asf1a	ASF1A
Tsku	TSKU
Psip1	PSIP1
Mrps33	MRPS33
Chdh	CHDH
Psmd2	PSMD2
Tom1l1	TOM1L1
Tcf7l2	TCF7L2
Rasgrp2	RASGRP2
Nmb	NMB
Ep400	EP400
Ggcx	GGCX
Casp9	CASP9
C1qtnf6	C1QTNF6
Zwint	ZWINT
Polr1c	POLR1C
Nphp1	NPHP1
Pacsin1	PACSIN1
Tmem169	TMEM169
Mylip	MYLIP
